Brick_ID,SR,Workload,Assigned_Office,Distance_to_Office,X_Coord,Y_Coord
0,1,0.013140992049060555,12,0.24656552353034455,0.026842520112149996,0.02380876378151128
1,1,0.1286307662408028,12,0.17352479888148564,0.09867278644257968,0.044048405939253195
2,1,0.059628181255374474,12,0.11169774911704723,0.23915516748012722,0.019239436911274603
3,1,0.1650621530357781,12,0.15642476150103105,0.3353949205787745,0.0
4,2,0.008451285372309438,12,0.21969863606613463,0.4341948560108489,0.012084392377293742
5,2,0.13123377318493826,16,0.14318250290273235,0.5315400153424396,0.04526365297969943
6,2,0.021961629733665226,16,0.09727252534687054,0.6437452844910815,0.021460898993199886
7,2,0.06187119635685404,16,0.17082673997946898,0.7852546830133375,0.007800942137843246
8,2,0.14524448400046458,16,0.19876018342769902,0.8388142192960356,0.04294511210872021
9,2,0.12874755211194394,16,0.3138291904660229,0.9570003614786904,0.033422833974928956
10,1,0.08665571993570784,12,0.22548302794195185,0.02589631737029067,0.09874973796265557
11,1,0.07261815473475716,12,0.09853570451678219,0.15059921178160798,0.13009492423884866
12,1,0.17580398935676989,12,0.0,0.2491341221124778,0.13049053857889997
13,1,0.11729369182117766,12,0.11078063314177318,0.35957304984300903,0.13918490002886472
14,2,0.07065877910821894,12,0.1880261704558671,0.43403578269942455,0.09635526813192205
15,2,0.13334902400013743,16,0.13379578169074707,0.5247112999905768,0.14933162442545025
16,2,0.20068225757583041,16,0.0,0.6548113259358764,0.1181019198595983
17,2,0.17008312148463015,16,0.1289576653340103,0.7833125839412238,0.12894194474156878
18,2,0.03842082471936923,38,0.18679156450896628,0.8831792650278566,0.15197871022619816
19,3,0.016696726472828594,38,0.26040125661519326,0.9647479077173209,0.10193395414599596
20,4,0.18047962126675382,32,0.22550977456430488,0.03868739703097515,0.2168967158080484
21,1,0.04700488716171755,32,0.12893695716357534,0.1532312448534804,0.23203358947637326
22,1,0.2001753197873019,32,0.09700096426669842,0.21224692403749046,0.23983823897496487
23,4,0.19574805298081047,12,0.13921977451313,0.345156408397325,0.23129662049917704
24,4,0.08153056506826795,32,0.20295665785943376,0.41538964615035456,0.2507672048497999
25,2,0.08842369132957294,16,0.1691615885446656,0.5538914227991525,0.25386206198470435
26,3,0.00018049213511848566,16,0.1326824824383807,0.6399813198931084,0.24995301794673094
27,3,0.08712964913763908,38,0.11979211633739527,0.7844243108269797,0.23584717194263413
28,3,0.015525548201378633,38,0.09270162876712643,0.8859387292747936,0.2502634225011314
29,3,0.19113165564138943,38,0.18145522683148566,0.9736988659701391,0.2027760478734451
30,4,0.10129083391769786,32,0.21049040877658068,0.02059883399930712,0.3233462829260127
31,4,0.11871731500988249,32,0.08846598411676133,0.14324841317175802,0.34799281506868196
32,4,0.16355728015115517,32,0.0,0.23076330757570043,0.3350555200185612
33,4,0.09172778290885258,32,0.08301472520168797,0.30891523500676127,0.3070605054780762
34,5,0.14409015248439092,32,0.22414912132690135,0.45409444138356186,0.3541875158296897
35,5,0.1342624848530181,46,0.17316551055356902,0.5726981302540098,0.325890852892577
36,5,0.12754691140790672,46,0.10463670656838372,0.6795041038406132,0.3606013518222717
37,3,0.17441218896660862,38,0.11840349579992543,0.7324355170520239,0.32516910018689693
38,3,0.07139988588603399,38,0.0,0.8503550451834727,0.33586361760936234
39,3,0.1765500247985849,38,0.10232818064222994,0.9518276503280247,0.3490684257763399
40,4,0.1316216820075566,32,0.22166210138071216,0.025081151502801494,0.4176929078143813
41,4,0.014065610093061155,32,0.13984884061364294,0.12029915118058528,0.42081896428764154
42,5,0.002016054701831027,32,0.11080900597957391,0.23391026167877466,0.4458198305434518
43,5,0.13434505087413645,32,0.17855544704307927,0.35354828723275805,0.4646930779999187
44,5,0.03957579383820055,65,0.20471185338403244,0.4701794595182601,0.44215003696189364
45,5,0.026325036308230996,46,0.12193434300265801,0.5555918044044906,0.4435817987706627
46,5,0.027370040410341603,46,0.0,0.6756007192318934,0.46516522679864414
47,5,0.06896144274214394,46,0.07711552008472852,0.7526516539460721,0.4683206820129555
48,3,0.07430972626795068,38,0.09948343818692358,0.8759707149480573,0.4319926555531761
49,3,0.15392431028511988,38,0.1431375344581828,0.9567824192626168,0.4315796968091781
50,6,0.12056104798619902,60,0.1610669807277217,0.004375878653942211,0.5175443830457058
51,6,0.04627266971083881,60,0.17486382462672878,0.09623130687164538,0.5230576022452404
52,7,0.07678375357639819,32,0.18827545008568053,0.20101978625326875,0.5209667032333093
53,7,0.05652987453071828,65,0.19328426211987015,0.35606208607295703,0.5422242121635973
54,8,0.05558972263931174,65,0.14240673449771282,0.4126525973869971,0.5497227977006478
55,8,0.1269933404848395,46,0.12043035600001128,0.569342993119374,0.5218464960830054
56,8,0.2001473887331834,46,0.09375187260125659,0.6328725373856384,0.5486141099089388
57,5,0.10270645503234622,46,0.08247623505889524,0.7392066671113944,0.5176686813882265
58,5,0.12869424787229597,78,0.21401786982684212,0.8806754462220869,0.5747461484126857
59,5,0.16262323543744217,78,0.25032808237818255,0.9770115800615193,0.5654407084813398
60,6,0.0390292897417159,60,0.0,0.015596500524811598,0.6782200499202368
61,6,0.02868087678137152,60,0.1313422751193226,0.1451697236811008,0.6567357981434049
62,7,0.19016112969842636,72,0.07107707634851222,0.22636568568449297,0.6814246329993073
63,8,0.001356990680275904,72,0.148800988715956,0.3496880181429851,0.6479821321951409
64,8,0.015971120907744853,65,0.11449170321265599,0.4105326748153284,0.6624342235466522
65,8,0.128762481826282,65,0.0,0.5228015066484781,0.6399829540200787
66,8,0.10066178080834355,65,0.12471017948283206,0.6463257281145925,0.6228249944143882
67,9,0.09002128209402857,78,0.160289557758008,0.7555668228009074,0.6684674713894454
68,9,0.1855711854635506,78,0.10971572974761522,0.8377901138214601,0.6810563533863887
69,9,0.047440387504210264,78,0.18374639772602433,1.0,0.6662275428794091
70,6,0.033398105274583145,60,0.07629645652652346,0.013949425344509964,0.7544987259827781
71,6,0.05586776339303489,72,0.1211240612751464,0.12201393518778544,0.7667905905929077
72,7,0.1869136057811857,72,0.0,0.2420704904331466,0.7507449755407208
73,3,0.12137464955384936,72,0.10703327605668418,0.3466152250041515,0.7736910134755038
74,8,0.17982761605893863,65,0.14560123502479244,0.43473524730072116,0.7559314495050933
75,10,0.05506266701093083,65,0.130881059722013,0.5233043206001227,0.7708630478926274
76,9,0.1210787098450359,65,0.18596487780877105,0.667154964816422,0.7572220895226353
77,9,0.17556411340944073,78,0.09092240510481281,0.7730649341799212,0.7709668320660885
78,9,0.15491308909812052,78,0.0,0.8623812941511652,0.7879806967514226
79,9,0.19439039408310266,78,0.11156773309136134,0.9649986349094357,0.7441966763461854
80,6,0.08133930399265094,60,0.15531978477040087,0.0024162311704869345,0.8329795925690541
81,6,0.025229023418393556,72,0.14963074817466426,0.14937118656388063,0.8682022012080389
82,7,0.1876477295079636,72,0.14414221244182024,0.2599896548554685,0.8937690327969343
83,7,0.03241895804761434,72,0.14583653214616735,0.35291293139634206,0.8455196946895562
84,10,0.0927775782669999,96,0.2325317975842167,0.4468449945554877,0.8611886145618378
85,10,0.09522102723531177,96,0.15251323331181413,0.5655700863233346,0.8384378876858807
86,10,0.09250989298081283,96,0.11338005311275942,0.6201506961999358,0.8532197369735561
87,10,0.020434912538079837,96,0.12346295970064418,0.7557634085143782,0.8860998964543833
88,9,0.15595084672842757,78,0.09502140359884201,0.864911482643143,0.8829684079991892
89,9,0.14998853565171638,78,0.14647841379287202,0.9938818353193674,0.8525061442876141
90,6,0.0269762298061724,60,0.3016660406428848,0.0,0.9794826417708251
91,7,0.03063871638962944,72,0.24163560459433361,0.14889721465404718,0.9736945350564575
92,7,0.04360045899077097,72,0.2057272632496179,0.21993248161033901,0.9552776511931429
93,7,0.17481870198353677,72,0.24342813837099045,0.3328726112231995,0.976603854956153
94,7,0.06976889732631641,96,0.22889883561681362,0.4283038372420803,0.9556634179345608
95,10,0.1092747189911581,96,0.0894691474540997,0.569193436983298,0.9440301402123016
96,10,0.11623298865773492,96,0.0,0.657153834882238,0.9603915810908916
97,10,0.12620249630293587,96,0.07002762167611727,0.7269755338734594,0.9657579716462544
98,10,0.11555653351092628,96,0.19415734159108763,0.8500814916850006,0.9822088342249079
99,10,0.06083008148182952,78,0.23834262947101487,0.9712620733233646,1.0
