Brick,SR,Workload,Office,Distance
0,1,0.013140992049060555,12,0.24656552353034455
1,1,0.1286307662408028,12,0.17352479888148564
2,1,0.059628181255374474,12,0.11169774911704723
3,1,0.1650621530357781,12,0.15642476150103105
4,2,0.008451285372309438,12,0.21969863606613463
5,2,0.13123377318493826,16,0.14318250290273235
6,2,0.021961629733665226,16,0.09727252534687054
7,2,0.06187119635685404,16,0.17082673997946898
8,2,0.14524448400046458,16,0.19876018342769902
9,2,0.12874755211194394,16,0.3138291904660229
10,1,0.08665571993570784,12,0.22548302794195185
11,1,0.07261815473475716,12,0.09853570451678219
12,1,0.17580398935676989,12,0.0
13,1,0.11729369182117766,12,0.11078063314177318
14,2,0.07065877910821894,12,0.1880261704558671
15,2,0.13334902400013743,16,0.13379578169074707
16,2,0.20068225757583041,16,0.0
17,2,0.17008312148463015,16,0.1289576653340103
18,2,0.03842082471936923,38,0.18679156450896628
19,3,0.016696726472828594,38,0.26040125661519326
20,4,0.18047962126675382,32,0.22550977456430488
21,1,0.04700488716171755,32,0.12893695716357534
22,1,0.2001753197873019,32,0.09700096426669842
23,4,0.19574805298081047,12,0.13921977451313
24,4,0.08153056506826795,32,0.20295665785943376
25,2,0.08842369132957294,16,0.1691615885446656
26,3,0.00018049213511848566,16,0.1326824824383807
27,3,0.08712964913763908,38,0.11979211633739527
28,3,0.015525548201378633,38,0.09270162876712643
29,3,0.19113165564138943,38,0.18145522683148566
30,4,0.10129083391769786,32,0.21049040877658068
31,4,0.11871731500988249,32,0.08846598411676133
32,4,0.16355728015115517,32,0.0
33,4,0.09172778290885258,32,0.08301472520168797
34,5,0.14409015248439092,32,0.22414912132690135
35,5,0.1342624848530181,46,0.17316551055356902
36,5,0.12754691140790672,46,0.10463670656838372
37,3,0.17441218896660862,38,0.11840349579992543
38,3,0.07139988588603399,38,0.0
39,3,0.1765500247985849,38,0.10232818064222994
40,4,0.1316216820075566,32,0.22166210138071216
41,4,0.014065610093061155,32,0.13984884061364294
42,5,0.002016054701831027,32,0.11080900597957391
43,5,0.13434505087413645,32,0.17855544704307927
44,5,0.03957579383820055,65,0.20471185338403244
45,5,0.026325036308230996,46,0.12193434300265801
46,5,0.027370040410341603,46,0.0
47,5,0.06896144274214394,46,0.07711552008472852
48,3,0.07430972626795068,38,0.09948343818692358
49,3,0.15392431028511988,38,0.1431375344581828
50,6,0.12056104798619902,60,0.1610669807277217
51,6,0.04627266971083881,60,0.17486382462672878
52,7,0.07678375357639819,32,0.18827545008568053
53,7,0.05652987453071828,65,0.19328426211987015
54,8,0.05558972263931174,65,0.14240673449771282
55,8,0.1269933404848395,46,0.12043035600001128
56,8,0.2001473887331834,46,0.09375187260125659
57,5,0.10270645503234622,46,0.08247623505889524
58,5,0.12869424787229597,78,0.21401786982684212
59,5,0.16262323543744217,78,0.25032808237818255
60,6,0.0390292897417159,60,0.0
61,6,0.02868087678137152,60,0.1313422751193226
62,7,0.19016112969842636,72,0.07107707634851222
63,8,0.001356990680275904,72,0.148800988715956
64,8,0.015971120907744853,65,0.11449170321265599
65,8,0.128762481826282,65,0.0
66,8,0.10066178080834355,65,0.12471017948283206
67,9,0.09002128209402857,78,0.160289557758008
68,9,0.1855711854635506,78,0.10971572974761522
69,9,0.047440387504210264,78,0.18374639772602433
70,6,0.033398105274583145,60,0.07629645652652346
71,6,0.05586776339303489,72,0.1211240612751464
72,7,0.1869136057811857,72,0.0
73,3,0.12137464955384936,72,0.10703327605668418
74,8,0.17982761605893863,65,0.14560123502479244
75,10,0.05506266701093083,65,0.130881059722013
76,9,0.1210787098450359,65,0.18596487780877105
77,9,0.17556411340944073,78,0.09092240510481281
78,9,0.15491308909812052,78,0.0
79,9,0.19439039408310266,78,0.11156773309136134
80,6,0.08133930399265094,60,0.15531978477040087
81,6,0.025229023418393556,72,0.14963074817466426
82,7,0.1876477295079636,72,0.14414221244182024
83,7,0.03241895804761434,72,0.14583653214616735
84,10,0.0927775782669999,96,0.2325317975842167
85,10,0.09522102723531177,96,0.15251323331181413
86,10,0.09250989298081283,96,0.11338005311275942
87,10,0.020434912538079837,96,0.12346295970064418
88,9,0.15595084672842757,78,0.09502140359884201
89,9,0.14998853565171638,78,0.14647841379287202
90,6,0.0269762298061724,60,0.3016660406428848
91,7,0.03063871638962944,72,0.24163560459433361
92,7,0.04360045899077097,72,0.2057272632496179
93,7,0.17481870198353677,72,0.24342813837099045
94,7,0.06976889732631641,96,0.22889883561681362
95,10,0.1092747189911581,96,0.0894691474540997
96,10,0.11623298865773492,96,0.0
97,10,0.12620249630293587,96,0.07002762167611727
98,10,0.11555653351092628,96,0.19415734159108763
99,10,0.06083008148182952,78,0.23834262947101487
