SR,Office_Brick,Num_Assigned,Workload,Avg_Distance,X,Y
1,12,11,1.0936917658907672,0.15181425269686794,0.2491341221124778,0.13049053857889997
2,16,10,1.0817772219131554,0.14884686601305977,0.6548113259358764,0.1181019198595983
3,38,10,0.9995005403769031,0.13044944421474286,0.8503550451834727,0.33586361760936234
4,32,14,1.4874059090090037,0.14997681702704518,0.23076330757570043,0.3350555200185612
5,46,8,0.8143130999720105,0.09668881798368781,0.6756007192318934,0.46516522679864414
6,60,7,0.37625752329353174,0.14293648034479745,0.015596500524811598,0.6782200499202368
7,72,11,1.050027727444681,0.14349417285217203,0.2420704904331466,0.7507449755407208
8,65,9,0.7530597674655063,0.13800576725029776,0.5228015066484781,0.6399829540200787
9,78,11,1.505987398824165,0.14549365659050684,0.8623812941511652,0.7879806967514226
10,96,9,0.8379790458102759,0.13382677667195028,0.657153834882238,0.9603915810908916
